DateTime,lp_value,validation_status,dayType,season
2020-12-29 14:00:00,1.986,VAL,Weekday,Winter
2020-12-30 03:00:00,0.099,VAL,Weekday,Winter
2020-12-30 13:00:00,0.59,VAL,Weekday,Winter
2020-12-30 23:00:00,0.197,VAL,Weekday,Winter
2020-12-31 09:00:00,0.126,VAL,Weekday,Winter
2020-12-30 16:00:00,0.155,VAL,Weekday,Winter
2021-01-02 04:00:00,0.194,VAL,Weekend,Winter
2020-12-30 00:00:00,0.139,VAL,Weekday,Winter
2021-01-01 09:00:00,0.091,VAL,Holiday,Winter
2020-12-31 19:00:00,1.832,VAL,Weekday,Winter
2021-01-01 19:00:00,0.685,VAL,Holiday,Winter
2021-01-02 01:00:00,0.244,VAL,Weekend,Winter
2020-12-30 10:00:00,0.529,VAL,Weekday,Winter
2020-12-30 20:00:00,2.329,VAL,Weekday,Winter
2020-12-30 09:00:00,0.527,VAL,Weekday,Winter
2021-01-01 06:00:00,0.074,VAL,Holiday,Winter
2020-12-31 06:00:00,0.251,VAL,Weekday,Winter
2020-12-31 11:00:00,4.269,VAL,Weekday,Winter
2021-01-01 11:00:00,1.163,VAL,Holiday,Winter
2020-12-29 11:00:00,0.589,VAL,Weekday,Winter
2020-12-30 06:00:00,0.152,VAL,Weekday,Winter
2020-12-29 17:00:00,1.206,VAL,Weekday,Winter
2021-01-01 03:00:00,0.152,VAL,Holiday,Winter
2021-01-01 23:00:00,0.286,VAL,Holiday,Winter
2020-12-31 03:00:00,0.133,VAL,Weekday,Winter
2020-12-31 23:00:00,0.205,VAL,Weekday,Winter
2020-12-31 07:00:00,0.324,VAL,Weekday,Winter
2020-12-30 21:00:00,1.378,VAL,Weekday,Winter
2020-12-31 00:00:00,0.28,VAL,Weekday,Winter
2020-12-29 09:00:00,2.639,VAL,Weekday,Winter
2020-12-29 22:00:00,0.241,VAL,Weekday,Winter
2021-01-01 00:00:00,0.229,VAL,Holiday,Winter
2020-12-29 16:00:00,0.765,VAL,Weekday,Winter
2020-12-30 05:00:00,0.354,VAL,Weekday,Winter
2020-12-30 15:00:00,0.249,VAL,Weekday,Winter
2020-12-31 14:00:00,3.124,VAL,Weekday,Winter
2021-01-01 14:00:00,1.462,VAL,Holiday,Winter
2021-01-01 07:00:00,0.201,VAL,Holiday,Winter
2021-01-02 06:00:00,0.249,VAL,Weekend,null
2020-12-29 03:00:00,0.136,VAL,null,Winter
2020-12-31 01:00:00,0.14,VAL,Weekday,Winter
2020-12-29 15:00:00,1.122,VAL,Weekday,Winter
2021-01-01 01:00:00,0.33,VAL,Holiday,Winter
2021-01-02 05:00:00,0.132,VAL,Weekend,Winter
2020-12-29 21:00:00,0.546,VAL,Weekday,Winter
2020-12-31 08:00:00,0.145,VAL,Weekday,Winter
2021-01-01 08:00:00,0.092,VAL,Holiday,Winter
2021-01-01 13:00:00,0.567,VAL,Holiday,Winter
2020-12-30 04:00:00,0.735,VAL,Weekday,Winter
2020-12-31 13:00:00,1.63,VAL,Weekday,Winter
2021-03-14 14:00:00,2.7,VAL,Weekend,Winter
2021-03-14 04:00:00,0.319,VAL,Weekend,Winter
2021-03-16 15:00:00,1.615,VAL,Weekday,Winter
2021-03-16 02:00:00,0.17,VAL,Weekday,Winter
2021-03-16 12:00:00,0.914,VAL,Weekday,Winter
2021-03-16 22:00:00,0.661,VAL,Weekday,Winter
2021-03-17 08:00:00,1.403,VAL,Weekday,Winter
2021-03-17 10:00:00,1.815,VAL,Weekday,Winter
2021-03-17 20:00:00,0.289,VAL,Weekday,Winter
2021-03-14 01:00:00,0.155,VAL,Weekend,Winter
2021-03-14 11:00:00,1.031,VAL,Weekend,Winter
2021-03-14 21:00:00,0.408,VAL,Weekend,Winter
2021-03-17 18:00:00,1.713,VAL,Weekday,Winter
2021-03-15 12:00:00,1.388,VAL,Weekday,Winter
2021-03-15 07:00:00,2.296,VAL,Weekday,Winter
2021-03-15 04:00:00,0.125,VAL,Weekday,Winter
2021-03-17 05:00:00,0.316,VAL,Weekday,Winter
2021-03-14 07:00:00,2.294,VAL,Weekend,Winter
2021-03-17 02:00:00,0.078,VAL,Weekday,Winter
2021-03-16 05:00:00,0.876,VAL,Weekday,Winter
2021-03-16 08:00:00,2.357,VAL,Weekday,Winter
2021-03-17 22:00:00,0.109,VAL,Weekday,null
2021-03-13 23:00:00,0.204,VAL,Weekend,Winter
2021-03-15 01:00:00,0.292,VAL,Weekday,Winter
2021-03-15 21:00:00,0.55,VAL,Weekday,Winter
2021-03-16 10:00:00,0.191,VAL,Weekday,Winter
2021-03-15 08:00:00,2.041,VAL,Weekday,Winter
2021-03-16 07:00:00,2.022,VAL,Weekday,Winter
2021-03-17 09:00:00,0.853,VAL,Weekday,Winter
2021-03-17 16:00:00,0.476,VAL,Weekday,Winter
2021-03-16 17:00:00,0.961,VAL,Weekday,Winter
2021-03-15 15:00:00,0.526,VAL,Weekday,Winter
2021-03-17 03:00:00,0.263,VAL,Weekday,Winter
2021-03-14 06:00:00,0.194,VAL,Weekend,Winter
2021-03-14 16:00:00,0.471,VAL,Weekend,Winter
2021-03-16 06:00:00,1.087,VAL,Weekday,Winter
2021-03-14 05:00:00,0.108,VAL,Weekend,Winter
2021-03-15 09:00:00,2.826,VAL,Weekday,Winter
2021-03-15 02:00:00,0.257,VAL,Weekday,Winter
2021-03-16 11:00:00,0.879,VAL,Weekday,Winter
2021-01-02 08:00:00,1.163,VAL,Weekend,Winter
2021-03-14 10:00:00,1.234,VAL,Weekend,Winter
2021-03-17 15:00:00,0.325,VAL,Weekday,Winter
2021-03-17 21:00:00,0.136,VAL,Weekday,Winter
2021-03-14 17:00:00,1.1,VAL,Weekend,Winter
2021-03-15 14:00:00,1.012,VAL,Weekday,Winter
2021-03-16 23:00:00,0.321,VAL,Weekday,Winter
2021-03-14 22:00:00,0.527,VAL,Weekend,Winter
2021-03-16 18:00:00,0.942,VAL,Weekday,Winter
2021-03-16 00:00:00,0.125,VAL,Weekday,Winter
2021-03-17 14:00:00,0.402,VAL,Weekday,Winter
2021-03-17 04:00:00,0.094,VAL,Weekday,Winter
2021-03-15 23:00:00,0.178,VAL,Weekday,Winter
2021-03-15 03:00:00,0.399,VAL,Weekday,Winter
2021-03-15 13:00:00,1.729,VAL,Weekday,Winter
2021-03-17 01:00:00,0.122,VAL,Weekday,Winter
2021-03-16 19:00:00,1.571,VAL,Weekday,Winter
2021-03-17 11:00:00,3.047,VAL,Weekday,Winter
2021-03-15 00:00:00,0.254,VAL,Weekday,Winter
